,Marketing_name,Memory,Grade,Price
0,iPhone6,64GB,B,7000
1,iPhone6S,16GB,B,8000
2,iPhone6S,32GB,C,8000
3,iPhone6S Plus,16GB,B,8000
4,iPhone7,32GB,B,8500
5,iPhone7,32GB,B,8500
6,iPhone6S,16GB,B,9000
7,iPhone6S,64GB,C,9000
8,iPhone6S,32GB,B,9000
9,iPhone7,32GB,C,9500
10,iPhone6S,32GB,B,10000
11,iPhone7,32GB,B,10000
12,iPhone6S,32GB,A,10000
13,iPhone6S,64GB,B,10000
14,iPhone6S Plus,64GB,B,10000
15,iPhone6S Plus,64GB,B,10000
16,iPhone6S,64GB,B,10000
17,iPhone6S Plus,16GB,B,10000
18,iPhone6S,64GB,A,10000
19,iPhone6S Plus,64GB,B,10000
20,iPhone6S,64GB,B,10000
21,iPhone7,32GB,B,10500
22,iPhone7,32GB,A,10500
23,iPhone6S,64GB,B,11000
24,iPhone6S,32GB,A,11000
25,iPhoneSE,32GB,B,11000
26,iPhone7,32GB,A,11500
27,iPhone6S Plus,64GB,A,12000
28,iPhone7,128GB,B,12000
29,iPhone7 Plus,32GB,B,12000
30,iPhone7 Plus,32GB,B,12000
31,iPhone7,128GB,B,12000
32,iPhone8,64GB,B,13500
33,iPhone8,64GB,B,13500
34,iPhone8,64GB,B,13500
35,iPhone8,64GB,B,13500
36,iPhone8,64GB,B,13500
37,iPhone7 Plus,32GB,B,14000
38,iPhone7 Plus,128GB,C,14000
39,iPhone7 Plus,128GB,B,14000
40,iPhone7 Plus,128GB,B,14000
41,iPhone8,128GB,B,15000
42,iPhone7,32GB,A,15500
43,iPhone8,64GB,A,15500
44,iPhone8,64GB,A,15500
45,iPhone7 Plus,128GB,B,16000
46,iPhone7,128GB,B,16000
47,iPhone7,128GB,B,16000
48,iPhone8,256GB,C,17500
49,iPhone6S,16GB,C,18000
50,iPhone8,64GB,B,18500
51,iPhoneSE2,64GB,B,18500
52,iPhoneSE2,64GB,B,18500
53,iPhone8,64GB,B,18500
54,iPhone8,64GB,B,18500
55,iPhoneSE2,64GB,B,18500
56,iPhone7 Plus,256GB,B,19000
57,iPhone8,128GB,B,19000
58,iPhoneSE2,64GB,B,19000
59,iPhoneSE2,64GB,B,19000
60,iPhone7,32GB,B,20500
61,iPhone7,32GB,B,20500
62,iPhone7,32GB,B,20500
63,iPhone8,64GB,A,20500
64,iPhoneSE2,64GB,A,20500
65,iPhone7,32GB,B,20500
66,iPhone8,64GB,A,20500
67,iPhoneSE2,64GB,A,20500
68,iPhone6S,32GB,B,21000
69,iPhone6S,32GB,B,21000
70,iPhone8 Plus,64GB,B,21000
71,iPhone6S,32GB,B,21000
72,iPhone7,32GB,A,21500
73,iPhone7,32GB,A,21500
74,iPhone7,32GB,A,21500
75,iPhone6S,32GB,A,22000
76,iPhoneXR,64GB,B,22500
77,iPhoneXR,64GB,B,22500
78,iPhoneSE2,128GB,B,22500
79,iPhoneSE2,128GB,B,22500
80,iPhoneXR,64GB,B,23500
81,iPhoneXR,64GB,B,23500
82,iPhoneSE2,64GB,B,24000
83,iPhone8,256GB,B,24500
84,iPhoneXR,64GB,B,24500
85,iPhoneXR,64GB,B,25500
86,iPhoneX,256GB,B,25500
87,iPhoneXR,128GB,B,25500
88,iPhoneXR,64GB,B,25500
89,iPhoneXS,64GB,B,25500
90,iPhoneXS,64GB,B,26000
91,iPhoneSE2,128GB,B,26000
92,iPhone8,64GB,A＋,26000
93,iPhone8 Plus,256GB,B,26000
94,iPhoneXR,64GB,C,26000
95,iPhoneSE2,64GB,A,26500
96,iPhone8,64GB,A,26500
97,iPhoneSE2,128GB,C,26500
98,iPhoneXR,64GB,A,27500
99,iPhoneX,64GB,B,27500
100,iPhoneXS,64GB,B,28500
101,iPhoneXR,256GB,B,28500
102,iPhoneX,256GB,B,29000
103,iPhoneSE3,64GB,C,29500
104,iPhone11,64GB,B,30500
105,iPhone11,64GB,B,30500
106,iPhoneX,256GB,B,31000
107,iPhone12 mini,64GB,B,31500
108,iPhoneXS,64GB,A,31500
109,iPhoneXS,256GB,B,31500
110,iPhone11,64GB,A,32500
111,iPhone12 mini,64GB,B,32500
112,iPhone11,64GB,B,32500
113,iPhone11,64GB,C,32500
114,iPhoneSE3,64GB,B,33500
115,iPhoneXS,64GB,A＋,34000
116,iPhoneXR,64GB,B,34000
117,iPhoneXR,64GB,B,34000
118,iPhone12 mini,64GB,B,34500
119,iPhone11,64GB,B,34500
120,iPhone12 mini,64GB,B,34500
121,iPhone12 mini,64GB,B,34500
