,Marketing_name,Memory,Grade,Price
0,iPhone 12,64GB,B,39600
1,iPhone 13,128GB,A,65800
2,iPhone SE (第 2 世代),64GB,A,24500
3,iPhone 14 Pro,256GB,A,118700
4,iPhone SE (第 3 世代),64GB,A,47400
5,iPhone 12 mini,128GB,A,42400
6,iPhone 13 mini,128GB,A,60500
7,iPhone 11,64GB,A,33800
8,iPhone 14,256GB,A,90600
9,iPhone 13 Pro,1TB,A,115800
10,iPhone 12 Pro,256GB,A,66800
11,iPhone 13 Pro Max,256GB,A,108700
12,iPhone 8,256GB,A,23600
13,iPhone XR,64GB,A,27800
14,iPhone 11 Pro,256GB,A,49400
15,iPhone 14 Plus,256GB,A,95700
16,iPhone 14 Pro Max,128GB,A,129300
17,iPhone 7,128GB,B,14500
18,iPhone X,256GB,A,28300
19,iPhone XS,64GB,A,28800
20,iPhone 12 Pro Max,512GB,A,94700
21,iPhone XS Max,256GB,A,47900
22,iPhone 7 Plus,128GB,A,19500
23,iPhone 8 Plus,256GB,A,24300
24,iPhone 11 Pro Max,256GB,A,62900
25,iPhone 6s,32GB,A,10400
26,iPhone 6s Plus,64GB,A,15500
27,iPhone SE,128GB,B,14500
28,iPhone 15,128GB,A,101700
29,iPhone 15 Plus,128GB,A,113500
30,iPhone 15 Pro,256GB,A,145700
31,iPhone 15 Pro Max,512GB,C,165000
32,iPhone 12,64GB,B,39000
33,iPhone 13,128GB,A,65800
34,iPhone SE (第 2 世代),64GB,A,24500
35,iPhone 14 Pro,128GB,A,101700
36,iPhone SE (第 3 世代),64GB,A,47400
37,iPhone 12 mini,128GB,A,42400
38,iPhone 13 mini,128GB,A,60500
39,iPhone 11,64GB,A,33800
40,iPhone SE (第 3 世代),64GB,A,47400
41,iPhone SE (第 3 世代),64GB,A,47400
42,iPhone SE (第 3 世代),64GB,A,47400
43,iPhone SE (第 3 世代),64GB,A,47400
44,iPhone SE (第 3 世代),64GB,A,47400
45,iPhone 12 mini,128GB,A,42400
46,iPhone SE (第 3 世代),64GB,A,47400
47,iPhone SE (第 3 世代),64GB,A,47400
48,iPhone SE (第 3 世代),64GB,A,47400
49,iPhone SE (第 3 世代),64GB,A,47400
50,iPhone SE (第 3 世代),64GB,A,47400
51,iPhone SE (第 3 世代),64GB,A,47400
52,iPhone SE (第 3 世代),64GB,A,47400
53,iPhone SE (第 3 世代),64GB,A,47400
54,iPhone SE (第 3 世代),64GB,A,47400
55,iPhone SE (第 3 世代),64GB,A,47400
56,iPhone SE (第 3 世代),64GB,A,47400
57,iPhone SE (第 3 世代),64GB,A,47400
58,iPhone 12 mini,128GB,A,42400
59,iPhone 12 mini,128GB,A,42400
60,iPhone 12 mini,128GB,A,42400
61,iPhone SE (第 3 世代),64GB,A,47400
62,iPhone SE (第 3 世代),64GB,A,47400
63,iPhone SE (第 3 世代),64GB,A,47400
64,iPhone SE (第 3 世代),64GB,A,47400
65,iPhone SE (第 3 世代),64GB,A,47400
66,iPhone SE (第 3 世代),64GB,A,47400
67,iPhone SE (第 3 世代),64GB,A,47400
68,iPhone SE (第 3 世代),64GB,A,47400
69,iPhone SE (第 3 世代),64GB,A,47400
70,iPhone SE (第 3 世代),64GB,A,47400
71,iPhone SE (第 3 世代),64GB,A,47400
72,iPhone 12 mini,128GB,A,42400
73,iPhone 12 mini,128GB,A,42400
74,iPhone SE (第 3 世代),64GB,A,47400
75,iPhone SE (第 3 世代),64GB,A,47400
76,iPhone SE (第 3 世代),64GB,A,47400
77,iPhone SE (第 3 世代),64GB,A,47400
78,iPhone SE (第 3 世代),64GB,A,47400
79,iPhone SE (第 3 世代),64GB,A,47400
80,iPhone SE (第 2 世代),64GB,A,24500
81,iPhone SE (第 2 世代),64GB,A,24500
82,iPhone SE (第 2 世代),64GB,A,24500
83,iPhone SE (第 2 世代),64GB,A,24500
84,iPhone SE (第 2 世代),64GB,A,24500
85,iPhone SE (第 2 世代),64GB,A,24500
86,iPhone SE (第 2 世代),64GB,A,24500
87,iPhone SE (第 3 世代),64GB,A,45600
88,iPhone SE (第 2 世代),64GB,A,24500
